signal_date,entry_date,exit_date,entry_price,stop_price,target_price,exit_price,atr_at_signal,outcome,r_multiple,split,holding_period_days,entry_bar,exit_bar,bars_held,stop_distance,target_distance,cond_weekly_ok,cond_daily_trend_ok,cond_pullback,cond_confirm,weekly_separation,weekly_ema10,weekly_ema20,weekly_close,weekly_ema_separation_pct,price_vs_weekly_ema20_pct,ema20_ema50_gap,ema20_ema50_gap_atr,ema50_slope5,atr_pct,atr_pctile_100,breakout_pips,breakout_atr,candle_range,candle_body,candle_range_atr,concurrent_positions,win_streak_at_exit,loss_streak_at_exit,exit_year,exit_month,exit_quarter
2012-10-11,2012-10-12,2012-10-17,1.29305,1.2828271046990651,1.3134957906018696,1.3134957906018696,0.010222895300934837,target,1.9999999999999782,train,5,2305,2308,4,0.010222895300934898,0.020445790601869573,True,True,True,True,1.289669293715329,1.2779230135021695,1.2733808744208996,1.3032,0.00348537375788051,0.023417287143299704,0.013542241892027684,1.324697308676272,0.0037247552326202804,0.007906949726146521,0.18,18.000000000000238,0.17607536289992348,0.012399999999999967,0.007900000000000018,1.2129636110883424,1,1,0,2012,2012-10,2012Q4
2012-10-30,2012-10-31,2012-11-02,1.29675,1.2877068085945684,1.3148363828108631,1.2877068085945684,0.009043191405431583,stop,-1.0,train,2,2318,2320,3,0.009043191405431639,0.018086382810863055,True,True,True,True,1.2960403246959145,1.2865217707310905,1.2795048070028023,1.2941,0.005422273184675214,0.011406907513998676,0.010549012596513974,1.1665143557812958,0.0019654221230545055,0.0069745421914480825,0.02,30.999999999998806,0.3427993349933893,0.009700000000000042,0.006399999999999961,1.0726301772374254,1,0,1,2012,2012-11,2012Q4
2012-12-11,2012-12-12,2012-12-17,1.30085,1.2925924604083794,1.3173650791832414,1.3181,0.008257539591620643,gap_target,2.0889999749446426,train,5,2348,2351,4,0.008257539591620677,0.016515079183241355,True,True,True,True,1.2944195176274929,1.2879996720175602,1.2830733032893231,1.2925,0.003811503851634074,0.007346966604721894,0.0052911055056372724,0.6407605373162769,0.001935821727592213,0.006348535090044316,0.08,61.99999999999983,0.7508289765018442,0.008499999999999952,0.006799999999999917,1.0293623064944608,1,1,0,2012,2012-12,2012Q4
2013-01-07,2013-01-08,2013-01-11,1.31265,1.303370520578993,1.3312089588420144,1.3312089588420144,0.009279479421007156,target,2.0,train,3,2365,2368,4,0.009279479421007153,0.018558958842014306,True,True,True,True,1.3118671373283461,1.302963926515075,1.2937677148820084,1.3068,0.007037198984593365,0.010073125931404261,0.0093518093083933,1.00779460615241,0.0021208788721922556,0.007070079558862595,0.5,38.000000000000256,0.40950573061215856,0.011099999999999888,0.0047999999999999154,1.1961877920512851,2,2,0,2013,2013-01,2013Q1
2013-01-10,2013-01-11,2013-01-25,1.32675,1.3167163205947696,1.3468173588104613,1.3468173588104613,0.010033679405230572,target,2.000000000000022,train,14,2368,2378,11,0.010033679405230478,0.020067358810461178,True,True,True,True,1.31240372475274,1.302963926515075,1.2937677148820084,1.3068,0.007037198984593365,0.010073125931404261,0.008640285153947103,0.8611282865429116,0.001847167970347563,0.00756345500168142,0.71,172.00000000000102,1.7142265868125823,0.02400000000000002,0.021200000000000108,2.3919440746221956,2,3,0,2013,2013-01,2013Q1
2013-02-12,2013-02-13,2013-02-14,1.34525,1.334781537068162,1.366186925863676,1.334781537068162,0.010468462931838025,stop,-1.0,train,1,2391,2392,2,0.010468462931838118,0.020936925863676015,True,True,True,True,1.3417405355097607,1.3287723658765773,1.313208871781483,1.3365,0.01164496378233774,0.017736042391276744,0.014006279063466076,1.3379499124812673,0.0032498514275702828,0.007782665178676697,0.96,24.999999999999467,0.23881251873153486,0.01089999999999991,0.004999999999999893,1.0412225816695055,1,0,1,2013,2013-02,2013Q1
2013-08-15,2013-08-16,2013-08-29,1.33515,1.3261570988065887,1.353135802386823,1.3261570988065887,0.008992901193411448,stop,-1.0,train,13,2523,2532,10,0.00899290119341134,0.017985802386822902,True,True,True,True,1.3258867718787248,1.317272534895076,1.3124529853670968,1.3344,0.0036117727278021958,0.016722133956489596,0.007546485399722913,0.8391602706868129,0.0026223117468882062,0.0067362555755891,0.04,69.99999999999895,0.7783917391562547,0.015600000000000058,0.009299999999999864,1.7347015901196858,1,0,2,2013,2013-08,2013Q3
2013-10-17,2013-10-18,2013-10-31,1.36735,1.3590446788558326,1.3839606422883353,1.3590446788558326,0.008305321144167564,stop,-1.0,train,13,2568,2577,10,0.008305321144167488,0.016610642288335198,True,True,True,True,1.352446013087215,1.3403369822564566,1.3301068768363724,1.3551,0.007549336152375603,0.018790311965812184,0.010311519678103842,1.2415558049004687,0.003286790072680512,0.006074693639677856,0.3,104.99999999999953,1.264249728305041,0.01660000000000017,0.013900000000000023,1.9987186180822842,1,0,3,2013,2013-10,2013Q4
2013-11-22,2013-11-25,2013-12-09,1.35545,1.3462013856027937,1.3739472287944128,1.3739472287944128,0.00924861439720635,target,2.0,train,14,2594,2604,11,0.009248614397206367,0.018497228794412734,True,True,True,True,1.35136914230133,1.3485393873075082,1.3398440356954113,1.349,0.006445775842918377,0.006833604554455835,0.0013413677949720704,0.1450344600135179,8.799712472473686e-06,0.006826049448082036,0.68,62.99999999999972,0.6811831188359372,0.009099999999999886,0.007400000000000073,0.9839311716519012,3,1,0,2013,2013-12,2013Q4
2013-11-26,2013-11-27,2013-12-09,1.3567500000000001,1.3479182865656743,1.3744134268686519,1.3744134268686519,0.008831713434325879,target,2.0,train,12,2596,2604,9,0.008831713434325872,0.017663426868651744,True,True,True,True,1.3519389124053973,1.3496958623425068,1.341277937057753,1.3549,0.006212949505316868,0.010156032963703668,0.0015715588530078595,0.17794495538088254,0.00019751176841431572,0.00651018239298679,0.59,5.999999999999339,0.0679369869121814,0.005499999999999838,0.0042999999999999705,0.6227557133617132,3,2,0,2013,2013-12,2013Q4
2013-12-05,2013-12-06,2013-12-27,1.36735,1.358841877648115,1.3843662447037701,1.3843662447037701,0.008508122351885045,target,2.0,train,21,2603,2617,15,0.008508122351885028,0.017016244703770056,True,True,True,True,1.355857923460067,1.3512784328256873,1.3429086097189193,1.3584,0.0061615305556300985,0.011535699576997403,0.0032680222289296346,0.3841061627664037,0.0015529862448677711,0.006223482080231911,0.57,65.99999999999939,0.7757293239368678,0.013399999999999856,0.008199999999999985,1.5749655970839411,3,3,0,2013,2013-12,2013Q4
2014-03-24,2014-03-25,2014-03-25,1.38385,1.3758895705176049,1.3997708589647904,1.3758895705176049,0.007960429482395157,stop,-1.0,train,0,2678,2678,1,0.00796042948239517,0.01592085896479034,True,True,True,True,1.3814173089278503,1.3753577143971667,1.36709139376114,1.3793,0.005993127409574948,0.008930351178110849,0.0070895962736479134,0.8906047455513387,0.0019321037597328505,0.005753002444457004,0.46,26.999999999999247,0.33917767954242856,0.011500000000000066,0.0045999999999999375,1.4446456721252072,1,0,1,2014,2014-03,2014Q1
2014-04-09,2014-04-10,2014-04-30,1.38545,1.3779858577523507,1.4003782844952988,1.3779858577523507,0.007464142247649403,stop,-1.0,train,20,2690,2704,15,0.007464142247649352,0.014928284495298705,True,True,True,True,1.3784090150361423,1.374384916249343,1.3680784425119534,1.3703,0.004602257708085427,0.0016238524188478564,0.003064818458164531,0.41060558018300086,0.0002414023040975266,0.005388105282357181,0.18,41.999999999999815,0.5626902409747938,0.008200000000000207,0.005900000000000016,1.098585708569868,2,0,2,2014,2014-04,2014Q2
2014-04-28,2014-04-29,2014-04-30,1.38515,1.3794709478542282,1.3965081042915442,1.3794709478542282,0.0056790521457719895,stop,-1.0,train,1,2703,2704,2,0.005679052145771912,0.011358104291544047,True,True,True,True,1.3815226576086608,1.3787645409059133,1.372262934584763,1.3835,0.004699390185146561,0.008188711603317626,0.0031686003540605245,0.5579452825449971,0.0009904908483386876,0.004100398661207213,0.02,1.9999999999997797,0.035217144492831684,0.006399999999999961,0.001000000000000112,1.1269486237707311,2,0,3,2014,2014-04,2014Q2
2015-09-28,2015-09-29,2015-10-14,1.1242500000000002,1.1123139291925308,1.148122141614939,1.148122141614939,0.011936070807469406,target,2.0,train,15,3071,3082,12,0.01193607080746939,0.02387214161493878,True,True,True,True,1.1225954160760665,1.1190037592991815,1.1182668454596558,1.1205,0.0006576651847618714,0.001996978225198393,0.004073656463438269,0.341289569167857,8.31725578427367e-05,0.010618335386059429,0.23,29.000000000001247,0.24296102517968898,0.010399999999999965,0.0048000000000001375,0.8713085040926373,1,1,0,2015,2015-10,2015Q4
2016-03-10,2016-03-11,2016-03-16,1.1181100000000002,1.1062181276832699,1.1418937446334605,1.1062181276832699,0.01189187231673022,stop,-1.0,train,5,3187,3190,4,0.011891872316730279,0.023783744633460335,True,True,True,True,1.1021843853554034,1.1000091261816256,1.0993765771010258,1.10019,0.0005749453099917673,0.0007398946966099388,0.0021735480771227778,0.18277593462426403,0.0009429263070117599,0.010637022743660582,0.99,144.69999999999982,1.2167974575074014,0.039470000000000116,0.018299999999999983,3.3190736453225522,1,0,1,2016,2016-03,2016Q1
2016-03-16,2016-03-17,2016-04-07,1.1217300000000001,1.1099039620148343,1.1453820759703317,1.1453820759703317,0.011826037985165839,target,2.0,train,21,3191,3205,15,0.011826037985165794,0.023652075970331587,True,True,True,True,1.10631578356704,1.1027383759667844,1.100866426900928,1.11502,0.0016788479721048092,0.0128567578710851,0.004156306269518462,0.3514538237347102,0.0028816670691069746,0.010544181803334468,0.96,90.90000000000042,0.768642888801999,0.01831000000000005,0.010820000000000052,1.5482784701831214,1,1,0,2016,2016-04,2016Q2
2016-04-26,2016-04-27,2016-05-02,1.1298700000000002,1.1209964863606483,1.1476170272787038,1.1476170272787038,0.008873513639351838,target,2.0,train,5,3219,3222,4,0.008873513639351849,0.017747027278703698,True,True,True,True,1.1291519288663934,1.1211682717683238,1.1136533843324483,1.12254,0.00669453866755347,0.007979696189652975,0.0076057556881536925,0.857130106210019,0.001318815364276027,0.007854613213319971,0.01,18.899999999999473,0.21299341803209326,0.008180000000000076,0.0029799999999999827,0.9218445288373479,1,2,0,2016,2016-05,2016Q2
2016-05-11,2016-05-12,2016-05-13,1.1428,1.134366421632378,1.1596671567352437,1.134366421632378,0.008433578367621822,stop,-1.0,train,1,3230,3231,2,0.00843357836762193,0.016867156735243638,True,True,True,True,1.1376221686283272,1.1281023968035886,1.118842248852639,1.14011,0.008122153082553032,0.01900871295231366,0.008812164121499988,1.0448902870614958,0.0024002593521317284,0.007381429418332683,0.01,16.199999999999548,0.19208928041973922,0.007689999999999975,0.005479999999999929,0.9118312138443401,1,0,1,2016,2016-05,2016Q2
2017-05-12,2017-05-15,2017-05-16,1.0934400000000002,1.0863300544701666,1.1076598910596676,1.1076598910596676,0.0071099455298336625,target,2.000000000000031,train,1,3491,3492,2,0.007109945529833572,0.014219891059667367,True,True,True,True,1.0856253255409387,1.075910249346562,1.0740457254039915,1.09961,0.0016956229413796968,0.023801849391833642,0.007791682709777037,1.0958850074283655,0.0025038588337469303,0.006505279774768893,0.18,36.40000000000087,0.511958915117771,0.007789999999999964,0.006770000000000165,1.09564833757344,1,1,0,2017,2017-05,2017Q2
2017-06-23,2017-06-26,2017-06-27,1.1195400000000002,1.1131105642303274,1.132398871539346,1.132398871539346,0.006429435769672908,target,2.0000000000000346,train,1,3521,3522,2,0.006429435769672809,0.01285887153934584,True,True,True,True,1.1170989425551958,1.105680543894896,1.0936714981235407,1.12014,0.010721022168081944,0.02420151016266984,0.010539850218371338,1.6393118456967717,0.002116873939187247,0.0057422595672590206,0.06,18.700000000000383,0.29084978324547023,0.006349999999999856,0.004489999999999883,0.9876449858869819,1,2,0,2017,2017-06,2017Q2
2017-06-27,2017-06-28,2017-07-11,1.1337300000000001,1.1266562007904353,1.1478775984191298,1.1478775984191298,0.00707379920956489,target,2.0,train,13,3523,3532,10,0.007073799209564857,0.014147598419129714,True,True,True,True,1.118775506264004,1.108224081368551,1.0961475459212986,1.11967,0.01078579889364948,0.02145920425240839,0.010712891615516362,1.5144466641109697,0.0028678947820024447,0.006240229370282548,0.3,116.1000000000012,1.6412679602640647,0.01700999999999997,0.015249999999999986,2.404648406898484,1,3,0,2017,2017-07,2017Q3
2017-08-21,2017-08-22,2017-08-29,1.18155,1.1726015966899468,1.199446806620107,1.199446806620107,0.008948403310053374,target,2.000000000000025,train,7,3562,3567,6,0.00894840331005331,0.017896806620106842,True,True,True,True,1.173278816749859,1.1575129637147772,1.1351593379303409,1.17637,0.019002206605435654,0.03630385681784169,0.01745428466098531,1.9505473832829736,0.0045381453934463245,0.007574726634827422,0.98,39.39999999999832,0.44030201405577146,0.009589999999999987,0.005519999999999969,1.0716995722830005,1,4,0,2017,2017-08,2017Q3
2017-10-19,2017-10-20,2017-10-20,1.1848100000000001,1.1773819731026853,1.1996660537946295,1.1773819731026853,0.0074280268973147484,stop,-1.0,train,0,3605,3605,1,0.00742802689731481,0.014856053794629398,True,True,True,True,1.1811704039146678,1.1801370508178435,1.1638159844378881,1.18193,0.01380882656329507,0.015564329588462114,0.002422124627336153,0.32607914064120547,0.0003813358579989323,0.006270229094935,0.37,40.99999999999992,0.5519635371113362,0.008929999999999882,0.005390000000000006,1.2022035088790675,1,0,1,2017,2017-10,2017Q4
2017-10-25,2017-10-26,2017-10-26,1.18174,1.1745674212251611,1.1960851575496776,1.1745674212251611,0.007172578774838807,stop,-1.0,train,0,3609,3609,1,0.0071725787748389,0.014345157549677579,True,True,True,True,1.1800003750935226,1.17952849612369,1.1650516049676132,1.17679,0.01230201748491818,0.010075429261962296,0.0014369738104138552,0.2003427017706263,5.6008555477937705e-05,0.006070277147605182,0.24,23.599999999999177,0.32903089308391115,0.006460000000000132,0.005220000000000002,0.9006523598822812,1,0,2,2017,2017-10,2017Q4
2017-12-19,2017-12-20,2017-12-29,1.1843400000000002,1.1769062562184027,1.1992074875631953,1.1992074875631953,0.0074337437815975085,target,2.0000000000000298,train,9,3648,3654,7,0.007433743781597446,0.014867487563195114,True,True,True,True,1.1794881078702018,1.1780843952382172,1.1714203984313922,1.17539,0.005669604817826378,0.003388707908726243,0.0015927259089290047,0.21425622885629353,0.0003442211787967331,0.006277492447662544,0.34,7.800000000000029,0.10492694164828764,0.00723000000000007,0.005900000000000016,0.972592036047595,1,1,0,2017,2017-12,2017Q4
2018-01-11,2018-01-12,2018-01-15,1.2039900000000001,1.1963869696632272,1.219196060673546,1.22046,0.007603030336772934,gap_target,2.1662415208763544,train,3,3663,3664,2,0.007603030336772898,0.015206060673545796,True,True,True,True,1.1935647962638487,1.187031408060601,1.1781249749315323,1.2042,0.007396141113659435,0.022132647743914404,0.00722903938786601,0.9508102779627126,0.002732450355095617,0.006315543615348076,0.57,20.700000000000163,0.27225986327954294,0.012920000000000043,0.008909999999999973,1.6993224316771394,1,2,0,2018,2018-01,2018Q1
2018-02-12,2018-02-13,2018-02-15,1.22926,1.2192041928586008,1.2493716142827982,1.2493716142827982,0.0100558071413991,target,1.999999999999978,train,2,3685,3687,3,0.010055807141399198,0.020111614282798174,True,True,True,True,1.22861596939813,1.2152171513034404,1.1989802953754065,1.22351,0.0132707177939158,0.020458805469286894,0.015138576032182716,1.5054560831679227,0.0032298627716058625,0.008181372815613819,0.94,4.100000000000215,0.04077246055287578,0.006189999999999918,0.004009999999999847,0.6155647093226453,3,3,0,2018,2018-02,2018Q1
2018-02-13,2018-02-14,2018-02-16,1.2351800000000002,1.2252231790829866,1.255093641834027,1.255093641834027,0.009956820917013448,target,1.9999999999999778,train,2,3686,3688,3,0.009956820917013554,0.019913641834026885,True,True,True,True,1.229222067550689,1.2152171513034404,1.1989802953754065,1.22351,0.0132707177939158,0.020458805469286894,0.014901434708896488,1.4966056769620177,0.0029718289374252027,0.00806233373577989,0.92,52.60000000000042,0.5282810692127806,0.008669999999999956,0.005870000000000042,0.8707598612309405,3,4,0,2018,2018-02,2018Q1
2018-02-14,2018-02-15,2018-02-20,1.24529,1.2346950948627733,1.2664798102744534,1.2346950948627733,0.010594905137226763,stop,-1.0,train,5,3687,3690,4,0.010594905137226718,0.021189810274453436,True,True,True,True,1.230762823022052,1.2152171513034404,1.1989802953754065,1.22351,0.0132707177939158,0.020458805469286894,0.015223391468172753,1.4368596293215614,0.0036403846653694227,0.008507230718826692,0.99,82.80000000000065,0.7815077051428297,0.01888999999999985,0.01036999999999999,1.7829324335927321,3,0,1,2018,2018-02,2018Q1
2018-03-02,2018-03-05,2018-03-20,1.2354,1.2257994276097144,1.2546011447805712,1.2257994276097144,0.009600572390285602,stop,-1.0,train,15,3699,3710,12,0.009600572390285667,0.01920114478057111,True,True,True,True,1.2306605010921494,1.2215471839304022,1.2054510354433599,1.22924,0.01309439042582598,0.01973449261494954,0.008978377465385545,0.935191892774057,0.0011759697676083647,0.007786794376230282,0.76,54.50000000000177,0.5676744863165443,0.008429999999999938,0.005730000000000013,0.8780726458070234,2,0,3,2018,2018-03,2018Q1
2018-03-13,2018-03-14,2018-03-15,1.2395200000000002,1.2304149599203007,1.2577300801593994,1.2304149599203007,0.009105040079699544,stop,-1.0,train,1,3706,3707,2,0.009105040079699478,0.018210080159399178,True,True,True,True,1.2332412195779838,1.2248900983335749,1.2102158816214352,1.23062,0.011924246893549302,0.01685989969924009,0.008097884292829427,0.8893848046736603,0.0022159308915135068,0.0073465067572230595,0.68,48.200000000000465,0.5293771315457078,0.009260000000000046,0.005980000000000096,1.0170191365380146,2,0,2,2018,2018-03,2018Q1
2018-04-10,2018-04-11,2018-04-20,1.2355200000000002,1.2274918761197517,1.2515762477604973,1.2274918761197517,0.00802812388024851,stop,-1.0,train,9,3726,3733,8,0.008028123880248428,0.016056247760497078,True,True,True,True,1.2316491011822044,1.2282700454317725,1.2171076727741377,1.22853,0.009085958550165538,0.009384812438021582,0.0028624867947506516,0.35655737722149394,0.00023328332214922476,0.006498610834290012,0.38,23.800000000000487,0.2964578070170955,0.0074599999999998,0.003090000000000037,0.9292332942636252,2,0,4,2018,2018-04,2018Q2
2018-04-16,2018-04-17,2018-04-20,1.2382300000000002,1.230747836939198,1.2531943261216045,1.230747836939198,0.007482163060802208,stop,-1.0,train,3,3730,3733,4,0.007482163060802183,0.014964326121604365,True,True,True,True,1.2328893306552622,1.2292845826259955,1.2187021801289817,1.23385,0.008576733393049246,0.012429468099757592,0.003130391991442938,0.4183806161406097,0.0012406257299388823,0.006043457555209124,0.28,34.79999999999927,0.4651061426649549,0.006879999999999997,0.004959999999999853,0.9195201900962515,2,0,5,2018,2018-04,2018Q2
2020-01-13,2020-01-14,2020-01-17,1.11373,1.1089875060074044,1.1232149879851916,1.1089875060074044,0.004742493992595716,stop,-1.0,validation,3,4180,4183,4,0.004742493992595742,0.009484987985191484,True,True,True,True,1.1131434895664183,1.1105240588775904,1.1104424619442304,1.11217,7.336732096718397e-05,0.0015557204582622604,0.002413083862082832,0.5088217013770164,0.0003753454919974697,0.004258896315922694,0.27,6.200000000000649,0.13073290150036004,0.003409999999999913,0.0020100000000000673,0.7190309582518866,2,0,6,2020,2020-01,2020Q1
2020-01-15,2020-01-16,2020-01-17,1.11525,1.1105796352818946,1.124590729436211,1.1105796352818946,0.004670364718105497,stop,-1.0,validation,1,4182,4183,2,0.004670364718105446,0.009340729436210893,True,True,True,True,1.1132863486019884,1.1105240588775904,1.1104424619442304,1.11217,7.336732096718397e-05,0.0015557204582622604,0.002312652294372386,0.495175951763891,0.0004258379570494242,0.00418832983714812,0.23,6.399999999999739,0.13703426576491992,0.004450000000000065,0.002429999999999932,0.9528163791467615,2,0,7,2020,2020-01,2020Q1
2020-06-22,2020-06-23,2020-07-20,1.12643,1.116959694361393,1.1453706112772142,1.1453706112772142,0.009470305638607021,target,2.0000000000000235,validation,27,4294,4313,20,0.009470305638606957,0.018940611277214137,True,True,True,True,1.1195528592902804,1.1073214328742464,1.1034617977007282,1.11865,0.0034502616310001194,0.013764139665658799,0.011071159913125683,1.1690393463113329,0.0032511256485892037,0.008408109202992925,0.57,9.099999999999664,0.09608982378459091,0.010059999999999958,0.007980000000000098,1.06226772227804,1,1,0,2020,2020-07,2020Q3
2020-10-05,2020-10-06,2020-10-15,1.17832,1.170650272834863,1.1936594543302745,1.170650272834863,0.007669727165137251,stop,-1.0,validation,9,4369,4376,8,0.007669727165137141,0.015339454330274505,True,True,True,True,1.1753853019344915,1.1709819699865247,1.1562306090416359,1.17124,0.01259465262874289,0.012981312586772807,0.003678833824004135,0.4796564134284041,0.0005371432258691744,0.0065105277069201235,0.02,32.70000000000106,0.4263515415338231,0.008829999999999893,0.006750000000000034,1.1512795448756852,2,0,2,2020,2020-10,2020Q4
2020-10-09,2020-10-12,2020-10-13,1.18154,1.1742291780101135,1.1961616439797733,1.1742291780101135,0.007310821989886632,stop,-1.0,validation,1,4373,4374,2,0.007310821989886529,0.01462164397977328,True,True,True,True,1.1760421685069742,1.1709819699865247,1.1562306090416359,1.17124,0.01259465262874289,0.012981312586772807,0.0035272229037601743,0.48246598106745453,0.0010673971616863565,0.00618319306975535,0.01,41.999999999999815,0.5744908036073123,0.007030000000000092,0.006440000000000001,0.9615881784189229,2,0,1,2020,2020-10,2020Q4
2020-10-19,2020-10-20,2020-10-29,1.1769100000000001,1.1698804262257088,1.1909691475485829,1.1698804262257088,0.007029573774291386,stop,-1.0,validation,9,4379,4386,8,0.007029573774291364,0.014059147548582729,True,True,True,True,1.1754817577518872,1.1728193352802354,1.1599629248617473,1.17177,0.01097178662919179,0.010178838379390345,0.0024476732003477775,0.3481965306772123,0.00016952897198097006,0.005973617422513648,0.04,21.900000000001363,0.31154093694975105,0.009020000000000028,0.004750000000000032,1.2831503430532367,2,0,4,2020,2020-10,2020Q4
