oos_seq,signal_date,entry_date,exit_date,entry_price,stop_price,target_price,exit_price,atr_at_signal,outcome,r_multiple,split,entry_year,exit_year
15,2013-08-15,2013-08-16,2013-08-29,1.33515,1.3261570988065887,1.353135802386823,1.3261570988065887,0.008992901193411448,stop,-1.0,train,2013,2013
16,2013-10-17,2013-10-18,2013-10-31,1.36735,1.3590446788558326,1.3839606422883353,1.3590446788558326,0.008305321144167564,stop,-1.0,train,2013,2013
17,2013-11-22,2013-11-25,2013-12-09,1.35545,1.3462013856027937,1.3739472287944128,1.3739472287944128,0.00924861439720635,target,2.0,train,2013,2013
18,2013-11-26,2013-11-27,2013-12-09,1.3567500000000001,1.3479182865656743,1.3744134268686519,1.3744134268686519,0.008831713434325879,target,2.0,train,2013,2013
19,2013-12-05,2013-12-06,2013-12-27,1.36735,1.358841877648115,1.3843662447037701,1.3843662447037701,0.008508122351885045,target,2.0,train,2013,2013
20,2014-03-24,2014-03-25,2014-03-25,1.38385,1.3758895705176049,1.3997708589647904,1.3758895705176049,0.007960429482395157,stop,-1.0,train,2014,2014
21,2014-04-09,2014-04-10,2014-04-30,1.38545,1.3779858577523507,1.4003782844952988,1.3779858577523507,0.007464142247649403,stop,-1.0,train,2014,2014
22,2014-04-28,2014-04-29,2014-04-30,1.38515,1.3794709478542282,1.3965081042915442,1.3794709478542282,0.0056790521457719895,stop,-1.0,train,2014,2014
23,2015-09-28,2015-09-29,2015-10-14,1.1242500000000002,1.1123139291925308,1.148122141614939,1.148122141614939,0.011936070807469406,target,2.0,train,2015,2015
24,2016-03-10,2016-03-11,2016-03-16,1.1181100000000002,1.1062181276832699,1.1418937446334605,1.1062181276832699,0.01189187231673022,stop,-1.0,train,2016,2016
25,2016-03-16,2016-03-17,2016-04-07,1.1217300000000001,1.1099039620148343,1.1453820759703317,1.1453820759703317,0.011826037985165839,target,2.0,train,2016,2016
26,2016-04-26,2016-04-27,2016-05-02,1.1298700000000002,1.1209964863606483,1.1476170272787038,1.1476170272787038,0.008873513639351838,target,2.0,train,2016,2016
27,2016-05-11,2016-05-12,2016-05-13,1.1428,1.134366421632378,1.1596671567352437,1.134366421632378,0.008433578367621822,stop,-1.0,train,2016,2016
28,2017-05-12,2017-05-15,2017-05-16,1.0934400000000002,1.0863300544701666,1.1076598910596676,1.1076598910596676,0.0071099455298336625,target,2.000000000000031,train,2017,2017
29,2017-06-23,2017-06-26,2017-06-27,1.1195400000000002,1.1131105642303274,1.132398871539346,1.132398871539346,0.006429435769672908,target,2.0000000000000346,train,2017,2017
30,2017-06-27,2017-06-28,2017-07-11,1.1337300000000001,1.1266562007904353,1.1478775984191298,1.1478775984191298,0.00707379920956489,target,2.0,train,2017,2017
31,2017-08-21,2017-08-22,2017-08-29,1.18155,1.1726015966899468,1.199446806620107,1.199446806620107,0.008948403310053374,target,2.000000000000025,train,2017,2017
32,2017-10-19,2017-10-20,2017-10-20,1.1848100000000001,1.1773819731026853,1.1996660537946295,1.1773819731026853,0.0074280268973147484,stop,-1.0,train,2017,2017
33,2017-10-25,2017-10-26,2017-10-26,1.18174,1.1745674212251611,1.1960851575496776,1.1745674212251611,0.007172578774838807,stop,-1.0,train,2017,2017
34,2017-12-19,2017-12-20,2017-12-29,1.1843400000000002,1.1769062562184027,1.1992074875631953,1.1992074875631953,0.0074337437815975085,target,2.0000000000000298,train,2017,2017
35,2018-01-11,2018-01-12,2018-01-15,1.2039900000000001,1.1963869696632272,1.219196060673546,1.22046,0.007603030336772934,gap_target,2.1662415208763544,train,2018,2018
36,2018-02-12,2018-02-13,2018-02-15,1.22926,1.2192041928586008,1.2493716142827982,1.2493716142827982,0.0100558071413991,target,1.999999999999978,train,2018,2018
37,2018-02-13,2018-02-14,2018-02-16,1.2351800000000002,1.2252231790829866,1.255093641834027,1.255093641834027,0.009956820917013448,target,1.9999999999999778,train,2018,2018
38,2018-02-14,2018-02-15,2018-02-20,1.24529,1.2346950948627733,1.2664798102744534,1.2346950948627733,0.010594905137226763,stop,-1.0,train,2018,2018
39,2018-03-13,2018-03-14,2018-03-15,1.2395200000000002,1.2304149599203007,1.2577300801593994,1.2304149599203007,0.009105040079699544,stop,-1.0,train,2018,2018
40,2018-03-02,2018-03-05,2018-03-20,1.2354,1.2257994276097144,1.2546011447805712,1.2257994276097144,0.009600572390285602,stop,-1.0,train,2018,2018
41,2018-04-10,2018-04-11,2018-04-20,1.2355200000000002,1.2274918761197517,1.2515762477604973,1.2274918761197517,0.00802812388024851,stop,-1.0,train,2018,2018
42,2018-04-16,2018-04-17,2018-04-20,1.2382300000000002,1.230747836939198,1.2531943261216045,1.230747836939198,0.007482163060802208,stop,-1.0,train,2018,2018
43,2020-01-13,2020-01-14,2020-01-17,1.11373,1.1089875060074044,1.1232149879851916,1.1089875060074044,0.004742493992595716,stop,-1.0,validation,2020,2020
44,2020-01-15,2020-01-16,2020-01-17,1.11525,1.1105796352818946,1.124590729436211,1.1105796352818946,0.004670364718105497,stop,-1.0,validation,2020,2020
45,2020-06-22,2020-06-23,2020-07-20,1.12643,1.116959694361393,1.1453706112772142,1.1453706112772142,0.009470305638607021,target,2.0000000000000235,validation,2020,2020
46,2020-10-09,2020-10-12,2020-10-13,1.18154,1.1742291780101135,1.1961616439797733,1.1742291780101135,0.007310821989886632,stop,-1.0,validation,2020,2020
47,2020-10-05,2020-10-06,2020-10-15,1.17832,1.170650272834863,1.1936594543302745,1.170650272834863,0.007669727165137251,stop,-1.0,validation,2020,2020
48,2020-10-20,2020-10-21,2020-10-28,1.1825400000000001,1.1754375386381581,1.1967449227236842,1.1754375386381581,0.0071024613618420095,stop,-1.0,validation,2020,2020
49,2020-10-19,2020-10-20,2020-10-29,1.1769100000000001,1.1698804262257088,1.1909691475485829,1.1698804262257088,0.007029573774291386,stop,-1.0,validation,2020,2020
50,2021-01-21,2021-01-22,2021-01-27,1.2169400000000001,1.2095568526667484,1.2317062946665038,1.2095568526667484,0.007383147333251848,stop,-1.0,validation,2021,2021
51,2021-02-22,2021-02-23,2021-02-26,1.21619,1.209655017619653,1.229259964760694,1.209655017619653,0.0065349823803470194,stop,-1.0,validation,2021,2021
52,2021-02-19,2021-02-22,2021-03-01,1.21238,1.2059423266673186,1.2252553466653628,1.2059423266673186,0.006437673332681419,stop,-1.0,validation,2021,2021
53,2021-05-06,2021-05-07,2021-05-18,1.20652,1.200068828603222,1.2194223427935562,1.2194223427935562,0.0064511713967781254,target,2.0,validation,2021,2021
54,2021-06-07,2021-06-08,2021-06-11,1.2193100000000001,1.2127277807989352,1.2324744384021302,1.2127277807989352,0.006582219201065011,stop,-1.0,validation,2021,2021
55,2023-01-06,2023-01-09,2023-01-12,1.06465,1.0547744022721341,1.084401195455732,1.084401195455732,0.00987559772786592,target,2.0,validation,2023,2023
56,2023-03-20,2023-03-21,2023-03-23,1.07244,1.0630793359393458,1.0911613281213084,1.0911613281213084,0.00936066406065422,target,1.9999999999999762,validation,2023,2023
57,2023-07-07,2023-07-10,2023-07-12,1.09674,1.0896039399778898,1.1110121200442205,1.1110121200442205,0.007136060022110169,target,2.0,final,2023,2023
58,2023-07-26,2023-07-27,2023-07-27,1.10887,1.1017751861545344,1.1230596276909313,1.1017751861545344,0.007094813845465593,stop,-1.0,final,2023,2023
59,2024-01-10,2024-01-11,2024-01-16,1.09742,1.0903099454969298,1.1116401090061403,1.0903099454969298,0.007110054503070131,stop,-1.0,final,2024,2024
60,2024-03-20,2024-03-21,2024-03-21,1.09339,1.088034608537652,1.1041007829246963,1.088034608537652,0.005355391462348093,stop,-1.0,final,2024,2024
61,2024-08-02,2024-08-05,2024-08-14,1.0922500000000002,1.0869676300027769,1.1028147399944468,1.1028147399944468,0.005282369997223271,target,2.0,final,2024,2024
62,2024-09-04,2024-09-05,2024-09-10,1.1085200000000002,1.1027187302183203,1.12012253956336,1.1027187302183203,0.005801269781679936,stop,-1.0,final,2024,2024
63,2024-09-12,2024-09-13,2024-09-25,1.10768,1.1018811067383647,1.1192777865232708,1.1192777865232708,0.005798893261635358,target,2.000000000000038,final,2024,2024
64,2025-03-28,2025-03-31,2025-04-03,1.08179,1.073708935802437,1.0979521283951261,1.0979521283951261,0.00808106419756309,target,2.0,final,2025,2025
65,2025-04-03,2025-04-04,2025-04-04,1.1052000000000002,1.0951547760165923,1.125290447966816,1.0951547760165923,0.010045223983407948,stop,-1.0,final,2025,2025
66,2025-05-19,2025-05-20,2025-06-05,1.1244200000000002,1.113398731866622,1.1464625362667562,1.1464625362667562,0.01102126813337803,target,1.9999999999999798,final,2025,2025
67,2025-05-29,2025-05-30,2025-06-12,1.13714,1.126963292923325,1.1574934141533502,1.1574934141533502,0.010176707076675036,target,2.0000000000000218,final,2025,2025
68,2025-06-23,2025-06-24,2025-06-30,1.15796,1.1487248808971364,1.1764302382057275,1.1764302382057275,0.009235119102863707,target,2.0,final,2025,2025
69,2025-07-21,2025-07-22,2025-07-28,1.16945,1.1610873208135766,1.1861753583728472,1.1610873208135766,0.008362679186423578,stop,-1.0,final,2025,2025
70,2025-08-22,2025-08-25,2025-08-25,1.17243,1.1640674332073242,1.1891551335853519,1.1640674332073242,0.008362566792675885,stop,-1.0,final,2025,2025
71,2025-08-29,2025-09-01,2025-09-03,1.16911,1.161032470674137,1.1852650586517264,1.161032470674137,0.00807752932586313,stop,-1.0,final,2025,2025
72,2025-08-06,2025-08-07,2025-09-16,1.16598,1.156805973539696,1.184328052920608,1.184328052920608,0.009174026460303965,target,2.0,final,2025,2025
73,2025-08-28,2025-08-29,2025-09-16,1.16809,1.1598280453413783,1.1846139093172439,1.1846139093172439,0.00826195465862184,target,2.000000000000027,final,2025,2025
74,2025-09-05,2025-09-08,2025-09-17,1.1720700000000002,1.1641291209466524,1.1879517581066956,1.1879517581066956,0.007940879053347717,target,2.0,final,2025,2025
75,2025-09-11,2025-09-12,2025-09-17,1.17371,1.1661030974947246,1.188923805010551,1.188923805010551,0.007606902505275491,target,2.0000000000000293,final,2025,2025
76,2025-09-22,2025-09-23,2025-09-25,1.18035,1.1724772302555313,1.1960955394889372,1.1724772302555313,0.007872769744468629,stop,-1.0,final,2025,2025
