oos_seq,signal_date,entry_date,exit_date,outcome,r_multiple,cum_R,running_max,drawdown_R
31,2017-08-21,2017-08-22,2017-08-29,target,2.000000000000025,20.088999974944738,20.088999974944738,0.0
32,2017-10-19,2017-10-20,2017-10-20,stop,-1.0,19.088999974944738,20.088999974944738,-1.0
33,2017-10-25,2017-10-26,2017-10-26,stop,-1.0,18.088999974944738,20.088999974944738,-2.0
34,2017-12-19,2017-12-20,2017-12-29,target,2.0000000000000298,20.088999974944766,20.088999974944766,0.0
35,2018-01-11,2018-01-12,2018-01-15,gap_target,2.1662415208763544,22.25524149582112,22.25524149582112,0.0
36,2018-02-12,2018-02-13,2018-02-15,target,1.999999999999978,24.2552414958211,24.2552414958211,0.0
37,2018-02-13,2018-02-14,2018-02-16,target,1.9999999999999778,26.25524149582108,26.25524149582108,0.0
38,2018-02-14,2018-02-15,2018-02-20,stop,-1.0,25.25524149582108,26.25524149582108,-1.0
39,2018-03-13,2018-03-14,2018-03-15,stop,-1.0,24.25524149582108,26.25524149582108,-2.0
40,2018-03-02,2018-03-05,2018-03-20,stop,-1.0,23.25524149582108,26.25524149582108,-3.0
41,2018-04-10,2018-04-11,2018-04-20,stop,-1.0,22.25524149582108,26.25524149582108,-4.0
42,2018-04-16,2018-04-17,2018-04-20,stop,-1.0,21.25524149582108,26.25524149582108,-5.0
43,2020-01-13,2020-01-14,2020-01-17,stop,-1.0,20.25524149582108,26.25524149582108,-6.0
44,2020-01-15,2020-01-16,2020-01-17,stop,-1.0,19.25524149582108,26.25524149582108,-7.0
45,2020-06-22,2020-06-23,2020-07-20,target,2.0000000000000235,21.255241495821103,26.25524149582108,-4.999999999999975
46,2020-10-09,2020-10-12,2020-10-13,stop,-1.0,20.255241495821103,26.25524149582108,-5.999999999999975
47,2020-10-05,2020-10-06,2020-10-15,stop,-1.0,19.255241495821103,26.25524149582108,-6.999999999999975
48,2020-10-20,2020-10-21,2020-10-28,stop,-1.0,18.255241495821103,26.25524149582108,-7.999999999999975
49,2020-10-19,2020-10-20,2020-10-29,stop,-1.0,17.255241495821103,26.25524149582108,-8.999999999999975
50,2021-01-21,2021-01-22,2021-01-27,stop,-1.0,16.255241495821103,26.25524149582108,-9.999999999999975
51,2021-02-22,2021-02-23,2021-02-26,stop,-1.0,15.255241495821103,26.25524149582108,-10.999999999999975
52,2021-02-19,2021-02-22,2021-03-01,stop,-1.0,14.255241495821103,26.25524149582108,-11.999999999999975
53,2021-05-06,2021-05-07,2021-05-18,target,2.0,16.255241495821103,26.25524149582108,-9.999999999999975
54,2021-06-07,2021-06-08,2021-06-11,stop,-1.0,15.255241495821103,26.25524149582108,-10.999999999999975
55,2023-01-06,2023-01-09,2023-01-12,target,2.0,17.255241495821103,26.25524149582108,-8.999999999999975
56,2023-03-20,2023-03-21,2023-03-23,target,1.9999999999999762,19.25524149582108,26.25524149582108,-7.0
57,2023-07-07,2023-07-10,2023-07-12,target,2.0,21.25524149582108,26.25524149582108,-5.0
58,2023-07-26,2023-07-27,2023-07-27,stop,-1.0,20.25524149582108,26.25524149582108,-6.0
59,2024-01-10,2024-01-11,2024-01-16,stop,-1.0,19.25524149582108,26.25524149582108,-7.0
60,2024-03-20,2024-03-21,2024-03-21,stop,-1.0,18.25524149582108,26.25524149582108,-8.0
61,2024-08-02,2024-08-05,2024-08-14,target,2.0,20.25524149582108,26.25524149582108,-6.0
62,2024-09-04,2024-09-05,2024-09-10,stop,-1.0,19.25524149582108,26.25524149582108,-7.0
63,2024-09-12,2024-09-13,2024-09-25,target,2.000000000000038,21.255241495821117,26.25524149582108,-4.999999999999961
64,2025-03-28,2025-03-31,2025-04-03,target,2.0,23.255241495821117,26.25524149582108,-2.999999999999961
65,2025-04-03,2025-04-04,2025-04-04,stop,-1.0,22.255241495821117,26.25524149582108,-3.999999999999961
66,2025-05-19,2025-05-20,2025-06-05,target,1.9999999999999798,24.255241495821096,26.25524149582108,-1.9999999999999822
67,2025-05-29,2025-05-30,2025-06-12,target,2.0000000000000218,26.255241495821117,26.255241495821117,0.0
68,2025-06-23,2025-06-24,2025-06-30,target,2.0,28.255241495821117,28.255241495821117,0.0
69,2025-07-21,2025-07-22,2025-07-28,stop,-1.0,27.255241495821117,28.255241495821117,-1.0
70,2025-08-22,2025-08-25,2025-08-25,stop,-1.0,26.255241495821117,28.255241495821117,-2.0
71,2025-08-29,2025-09-01,2025-09-03,stop,-1.0,25.255241495821117,28.255241495821117,-3.0
72,2025-08-06,2025-08-07,2025-09-16,target,2.0,27.255241495821117,28.255241495821117,-1.0
73,2025-08-28,2025-08-29,2025-09-16,target,2.000000000000027,29.255241495821146,29.255241495821146,0.0
74,2025-09-05,2025-09-08,2025-09-17,target,2.0,31.255241495821146,31.255241495821146,0.0
75,2025-09-11,2025-09-12,2025-09-17,target,2.0000000000000293,33.255241495821174,33.255241495821174,0.0
76,2025-09-22,2025-09-23,2025-09-25,stop,-1.0,32.255241495821174,33.255241495821174,-1.0
