evaluation_period,trade_number,side,signal_date,entry_date,entry_price,atr14_on_signal,stop_price,target_price,exit_date,exit_price,exit_reason,units_eur,risk_usd,pnl_usd,r_multiple,duration_sessions,balance_before,balance_after
holdout_30pct,33,LONG,2024-06-04,2024-06-05,1.08818662,0.00578242,1.07951299,1.10553389,2024-06-10,1.07788825,gap_through_stop,1058.26610333,9.17901559,-10.89841728,-1.18731875,4,917.90155873,907.00314144
holdout_30pct,34,LONG,2024-08-20,2024-08-21,1.11279273,0.00672547,1.10270452,1.13296914,2024-09-10,1.10270452,stop,899.07267302,9.07003141,-9.07003141,-1.00000000,15,907.00314144,897.93311003
holdout_30pct,35,LONG,2024-09-25,2024-09-26,1.11310232,0.00696330,1.10265737,1.13399221,2024-10-03,1.10265737,stop,859.68175858,8.97933110,-8.97933110,-1.00000000,6,897.93311003,888.95377893
holdout_30pct,36,SHORT,2024-10-16,2024-10-17,1.08624816,0.00606929,1.09535210,1.06804029,2024-11-11,1.06804029,target,976.44984262,8.88953779,17.77907558,2.00000000,18,888.95377893,906.73285451
holdout_30pct,37,LONG,2025-03-05,2025-03-06,1.07949388,0.01054184,1.06368112,1.11111941,2025-04-03,1.11111941,target,573.41831710,9.06732855,18.13465709,2.00000000,21,906.73285451,924.86751160
holdout_30pct,38,LONG,2025-04-11,2025-04-14,1.13431418,0.01565427,1.11083277,1.18127700,2025-05-12,1.11083277,stop,393.87219683,9.24867512,-9.24867512,-1.00000000,19,924.86751160,915.61883648
holdout_30pct,39,LONG,2025-06-03,2025-06-04,1.13844645,0.01123369,1.12159591,1.17214753,2025-06-26,1.17214753,target,543.37655940,9.15618836,18.31237673,2.00000000,17,915.61883648,933.93121321
holdout_30pct,40,LONG,2025-06-26,2025-06-27,1.16922140,0.00963461,1.15476949,1.19812523,2025-07-29,1.15476949,stop,646.23362575,9.33931213,-9.33931213,-1.00000000,23,933.93121321,924.59190108
holdout_30pct,41,LONG,2025-09-09,2025-09-10,1.17027497,0.00854347,1.15745977,1.19590538,2025-10-09,1.15745977,stop,721.48035483,9.24591901,-9.24591901,-1.00000000,22,924.59190108,915.34598207
holdout_30pct,42,LONG,2025-12-11,2025-12-12,1.17413616,0.00608877,1.16500300,1.19240248,2026-01-09,1.16500300,stop,1002.22265139,9.15345982,-9.15345982,-1.00000000,19,915.34598207,906.19252225
holdout_30pct,43,LONG,2026-01-26,2026-01-27,1.18742287,0.00713665,1.17671790,1.20883282,2026-02-19,1.17671790,stop,846.51535492,9.06192522,-9.06192522,-1.00000000,18,906.19252225,897.13059702
holdout_30pct,44,SHORT,2026-03-09,2026-03-10,1.16166949,0.00864448,1.17463621,1.13573606,2026-04-14,1.17634594,gap_through_stop,691.87195933,8.97130597,-10.15422538,-1.13185588,26,897.13059702,886.97637164
holdout_30pct,45,SHORT,2026-06-08,2026-06-09,1.15279090,0.00646890,1.16249425,1.13338421,2026-06-24,1.13338421,target,914.09338757,8.86976372,17.73952743,2.00000000,12,886.97637164,904.71589908
chronological_1_of_3,1,LONG,2004-02-11,2004-02-12,1.28330171,0.01419579,1.26200802,1.32588909,2004-02-20,1.26200802,stop,469.62267050,10.00000000,-10.00000000,-1.00000000,7,1000.00000000,990.00000000
chronological_1_of_3,2,SHORT,2004-04-05,2004-04-06,1.20179307,0.01502283,1.22432732,1.15672459,2004-05-27,1.22432732,stop,439.33139519,9.90000000,-9.90000000,-1.00000000,38,990.00000000,980.10000000
chronological_1_of_3,3,LONG,2004-06-07,2004-06-08,1.23240733,0.01068339,1.21638225,1.26445750,2004-06-09,1.21638225,stop,611.60370410,9.80100000,-9.80100000,-1.00000000,2,980.10000000,970.29900000
chronological_1_of_3,4,LONG,2004-07-07,2004-07-08,1.23699605,0.01091648,1.22062134,1.26974549,2004-07-23,1.22062134,stop,592.55923938,9.70299000,-9.70299000,-1.00000000,12,970.29900000,960.59601000
chronological_1_of_3,5,LONG,2004-09-21,2004-09-22,1.23289359,0.00923196,1.21904565,1.26058946,2004-10-20,1.26058946,target,693.67448122,9.60596010,19.21192020,2.00000000,21,960.59601000,979.80793020
chronological_1_of_3,6,LONG,2004-10-20,2004-10-21,1.25800407,0.00897739,1.24453799,1.28493623,2004-11-04,1.28493623,target,727.61196013,9.79807930,19.59615860,2.00000000,10,979.80793020,999.40408880
chronological_1_of_3,7,LONG,2004-11-04,2004-11-05,1.28729951,0.01015800,1.27206251,1.31777352,2004-11-24,1.31777352,target,655.90599568,9.99404089,19.98808178,2.00000000,14,999.40408880,1019.39217058
chronological_1_of_3,8,LONG,2004-11-24,2004-11-25,1.31809616,0.00981778,1.30336949,1.34754950,2004-12-23,1.34754950,target,692.20825295,10.19392171,20.38784341,2.00000000,21,1019.39217058,1039.78001399
chronological_1_of_3,9,LONG,2004-12-23,2004-12-24,1.35140610,0.01109359,1.33476571,1.38468687,2005-01-04,1.33476571,stop,624.85333061,10.39780014,-10.39780014,-1.00000000,8,1039.78001399,1029.38221385
chronological_1_of_3,10,SHORT,2005-02-04,2005-02-07,1.28559494,0.01090620,1.30195424,1.25287634,2005-02-15,1.30195424,stop,629.23369416,10.29382214,-10.29382214,-1.00000000,7,1029.38221385,1019.08839171
chronological_1_of_3,11,LONG,2005-03-08,2005-03-09,1.33489966,0.00977431,1.32023820,1.36422259,2005-03-21,1.32023820,stop,695.07971829,10.19088392,-10.19088392,-1.00000000,9,1019.08839171,1008.89750780
chronological_1_of_3,12,SHORT,2005-04-04,2005-04-05,1.28490114,0.01025090,1.30027749,1.25414844,2005-04-18,1.30027749,stop,656.13578765,10.08897508,-10.08897508,-1.00000000,10,1008.89750780,998.80853272
chronological_1_of_3,13,SHORT,2005-05-12,2005-05-13,1.26770031,0.00964708,1.28217093,1.23875908,2005-05-31,1.23875908,target,690.23211773,9.98808533,19.97617065,2.00000000,13,998.80853272,1018.78470337
chronological_1_of_3,14,SHORT,2005-05-31,2005-06-01,1.23099649,0.00967442,1.24550812,1.20197322,2005-06-24,1.20197322,target,702.04689096,10.18784703,20.37569407,2.00000000,18,1018.78470337,1039.16039744
chronological_1_of_3,15,SHORT,2005-07-01,2005-07-04,1.19119942,0.01121922,1.20802825,1.15754177,2005-07-11,1.20802825,stop,617.48838174,10.39160397,-10.39160397,-1.00000000,6,1039.16039744,1028.76879347
chronological_1_of_3,16,LONG,2005-09-01,2005-09-02,1.24900079,0.01025768,1.23361427,1.27977382,2005-09-12,1.23361427,stop,668.61718879,10.28768793,-10.28768793,-1.00000000,7,1028.76879347,1018.48110553
chronological_1_of_3,17,SHORT,2005-09-23,2005-09-26,1.20260251,0.01002898,1.21764598,1.17251555,2005-10-06,1.21764598,stop,677.02505709,10.18481106,-10.18481106,-1.00000000,9,1018.48110553,1008.29629448
chronological_1_of_3,18,SHORT,2005-11-04,2005-11-07,1.18069327,0.01108294,1.19731768,1.14744444,2005-12-12,1.19731768,stop,606.51543681,10.08296294,-10.08296294,-1.00000000,26,1008.29629448,998.21333153
chronological_1_of_3,19,LONG,2006-01-06,2006-01-09,1.21400476,0.00949655,1.19975993,1.24249441,2006-02-03,1.19975993,stop,700.75503463,9.98213332,-9.98213332,-1.00000000,20,998.21333153,988.23119822
chronological_1_of_3,20,SHORT,2006-02-27,2006-02-28,1.18490434,0.00718724,1.19568519,1.16334263,2006-03-01,1.19568519,stop,916.65376521,9.88231198,-9.88231198,-1.00000000,2,988.23119822,978.34888623
chronological_1_of_3,21,LONG,2006-03-16,2006-03-17,1.21759665,0.00809283,1.20545741,1.24187514,2006-03-23,1.20545741,stop,805.93883970,9.78348886,-9.78348886,-1.00000000,5,978.34888623,968.56539737
chronological_1_of_3,22,LONG,2006-04-04,2006-04-05,1.22610617,0.00895048,1.21268044,1.25295761,2006-04-07,1.21268044,stop,721.42508776,9.68565397,-9.68565397,-1.00000000,3,968.56539737,958.87974340
