pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
USDJPY,2015-02-06,2015-02-09,2015-03-10,22,2.0000000000,119.0400000000,119.0550000000,121.4748596276,117.8450701862,121.4748596276,1.2099298138,1.2099298138,0.0150000000,target,,0
USDJPY,2015-03-30,2015-03-31,2015-04-03,4,-1.0000000000,120.1120000000,120.1270000000,119.2153262943,119.2153262943,121.9503474115,0.9116737057,0.9116737057,0.0150000000,stop,,0
USDJPY,2015-04-07,2015-04-08,2015-04-14,5,-1.0000000000,120.3200000000,120.3350000000,119.4440212029,119.4440212029,122.1169575942,0.8909787971,0.8909787971,0.0150000000,stop,,0
USDJPY,2015-04-21,2015-04-22,2015-04-24,3,-1.0000000000,119.6900000000,119.7050000000,118.8545642466,118.8545642466,121.4058715067,0.8504357534,0.8504357534,0.0150000000,stop,,0
USDJPY,2015-05-01,2015-05-04,2015-05-06,3,-1.0000000000,120.2300000000,120.2450000000,119.4207150977,119.4207150977,121.8935698045,0.8242849023,0.8242849023,0.0150000000,stop,,0
USDJPY,2015-05-18,2015-05-19,2015-05-20,2,2.0000000000,119.9900000000,120.0050000000,121.4625635629,119.2762182185,121.4625635629,0.7287817815,0.7287817815,0.0150000000,target,,0
USDJPY,2015-06-22,2015-06-23,2015-06-29,5,-1.0000000000,123.3600000000,123.3750000000,122.4235443619,122.4235443619,125.2779112762,0.9514556381,0.9514556381,0.0150000000,stop,,0
USDJPY,2015-07-10,2015-07-13,2015-08-05,18,2.0000000000,122.5600000000,122.5750000000,124.6302645222,121.5473677389,124.6302645222,1.0276322611,1.0276322611,0.0150000000,target,,0
USDJPY,2015-11-27,2015-11-30,2015-12-09,8,-1.0000000000,122.7680000000,122.7830000000,122.1303955902,122.1303955902,124.0882088197,0.6526044098,0.6526044098,0.0150000000,stop,,0
USDJPY,2017-01-27,2017-01-30,2017-01-30,1,-1.0000000000,114.8940000000,114.9090000000,113.5146566394,113.5146566394,117.6976867213,1.3943433606,1.3943433606,0.0150000000,stop,,0
USDJPY,2017-02-14,2017-02-15,2017-02-17,3,-1.0000000000,114.3210000000,114.3360000000,113.0640599834,113.0640599834,116.8798800333,1.2719400166,1.2719400166,0.0150000000,stop,,0
USDJPY,2017-02-21,2017-02-22,2017-02-23,2,-1.0000000000,113.7070000000,113.7220000000,112.5891139637,112.5891139637,115.9877720726,1.1328860363,1.1328860363,0.0150000000,stop,,0
USDJPY,2017-03-08,2017-03-09,2017-03-15,5,-1.0000000000,114.4480000000,114.4630000000,113.4696622953,113.4696622953,116.4496754094,0.9933377047,0.9933377047,0.0150000000,stop,,0
USDJPY,2017-10-18,2017-10-19,2017-11-06,13,2.0000000000,112.9630000000,112.9780000000,114.4459241105,112.2440379447,114.4459241105,0.7339620553,0.7339620553,0.0150000000,target,,0
USDJPY,2017-12-07,2017-12-08,2017-12-14,5,-1.0000000000,113.0850000000,113.1000000000,112.3097605672,112.3097605672,114.6804788657,0.7902394328,0.7902394328,0.0150000000,stop,,0
USDJPY,2017-12-19,2017-12-20,2018-01-02,8,-1.0000000000,112.8580000000,112.8730000000,112.1516094400,112.1516094400,114.3157811199,0.7213905600,0.7213905600,0.0150000000,stop,,0
USDJPY,2018-01-05,2018-01-08,2018-01-09,2,-1.0000000000,113.1130000000,113.1280000000,112.5518750947,112.5518750947,114.2802498105,0.5761249053,0.5761249053,0.0150000000,stop,,0
USDJPY,2018-06-01,2018-06-04,2018-07-02,21,2.0000000000,109.4800000000,109.4950000000,110.9663595409,108.7593202296,110.9663595409,0.7356797704,0.7356797704,0.0150000000,target,,0
USDJPY,2018-07-31,2018-08-01,2018-08-03,3,-1.0000000000,111.8410000000,111.8560000000,111.1782483285,111.1782483285,113.2115033430,0.6777516715,0.6777516715,0.0150000000,stop,,0
USDJPY,2018-08-14,2018-08-15,2018-08-15,1,-1.0000000000,111.2160000000,111.2310000000,110.5897270599,110.5897270599,112.5135458802,0.6412729401,0.6412729401,0.0150000000,stop,,0
USDJPY,2018-08-23,2018-08-24,2018-09-06,10,-1.0000000000,111.3020000000,111.3170000000,110.6381206874,110.6381206874,112.6747586253,0.6788793126,0.6788793126,0.0150000000,stop,,0
USDJPY,2018-09-11,2018-09-12,2018-09-21,8,2.0000000000,111.6070000000,111.6220000000,112.8500584499,111.0079707751,112.8500584499,0.6140292249,0.6140292249,0.0150000000,target,,0
USDJPY,2018-10-17,2018-10-18,2018-10-18,1,-1.0000000000,112.6900000000,112.7050000000,112.0545850762,112.0545850762,114.0058298476,0.6504149238,0.6504149238,0.0150000000,stop,,0
USDJPY,2018-10-22,2018-10-23,2018-10-23,1,-1.0000000000,112.8190000000,112.8340000000,112.1947530657,112.1947530657,114.1124938685,0.6392469343,0.6392469343,0.0150000000,stop,,0
USDJPY,2018-10-30,2018-10-31,2018-11-20,15,-1.0000000000,113.0870000000,113.1020000000,112.3869821905,112.3869821905,114.5320356191,0.7150178095,0.7150178095,0.0150000000,stop,,0
USDJPY,2018-11-21,2018-11-22,2018-12-06,11,-1.0000000000,113.1090000000,113.1240000000,112.5052941275,112.5052941275,114.3614117449,0.6187058725,0.6187058725,0.0150000000,stop,,0
USDJPY,2018-12-10,2018-12-11,2018-12-18,6,-1.0000000000,113.2640000000,113.2790000000,112.6509762350,112.6509762350,114.5350475301,0.6280237650,0.6280237650,0.0150000000,stop,,0
USDJPY,2019-12-12,2019-12-13,2019-12-30,11,-1.0000000000,109.4670000000,109.4820000000,109.0009803291,109.0009803291,110.4440393417,0.4810196709,0.4810196709,0.0150000000,stop,,0
USDJPY,2021-04-27,2021-04-28,2021-05-27,22,2.0000000000,108.7090000000,108.7240000000,109.8619017973,108.1550491013,109.8619017973,0.5689508987,0.5689508987,0.0150000000,target,,0
USDJPY,2021-05-27,2021-05-28,2021-06-07,7,-1.0000000000,109.8460000000,109.8610000000,109.2942722140,109.2942722140,110.9944555720,0.5667277860,0.5667277860,0.0150000000,stop,,0
USDJPY,2021-06-09,2021-06-10,2021-06-17,6,2.0000000000,109.6310000000,109.6460000000,110.7455436889,109.0962281556,110.7455436889,0.5497718444,0.5497718444,0.0150000000,target,,0
USDJPY,2021-07-13,2021-07-14,2021-07-14,1,-1.0000000000,110.6210000000,110.6360000000,110.0899097852,110.0899097852,111.7281804296,0.5460902148,0.5460902148,0.0150000000,stop,,0
USDJPY,2021-07-21,2021-07-22,2021-07-27,4,-1.0000000000,110.2880000000,110.3030000000,109.7140309476,109.7140309476,111.4809381048,0.5889690524,0.5889690524,0.0150000000,stop,,0
USDJPY,2021-08-06,2021-08-09,2021-08-13,5,-1.0000000000,110.2590000000,110.2740000000,109.6974528102,109.6974528102,111.4270943795,0.5765471898,0.5765471898,0.0150000000,stop,,0
USDJPY,2021-08-31,2021-09-01,2021-09-15,11,-1.0000000000,110.0065000000,110.0215000000,109.5258211492,109.5258211492,111.0128577015,0.4956788508,0.4956788508,0.0150000000,stop,,0
USDJPY,2021-11-10,2021-11-11,2021-11-24,10,2.0000000000,113.8750000000,113.8900000000,115.2366087609,113.2166956195,115.2366087609,0.6733043805,0.6733043805,0.0150000000,target,,0
USDJPY,2021-12-14,2021-12-15,2021-12-30,12,2.0000000000,113.7465000000,113.7615000000,115.1611117808,113.0616941096,115.1611117808,0.6998058904,0.6998058904,0.0150000000,target,,0
USDJPY,2022-01-26,2022-01-27,2022-02-10,11,2.0000000000,114.6735000000,114.6885000000,115.9039945174,114.0807527413,115.9039945174,0.6077472587,0.6077472587,0.0150000000,target,,0
USDJPY,2022-02-24,2022-02-25,2022-02-28,2,-1.0000000000,115.5085000000,115.5235000000,114.8714776217,114.8714776217,116.8275447566,0.6520223783,0.6520223783,0.0150000000,stop,,0
USDJPY,2022-03-02,2022-03-03,2022-03-04,2,-1.0000000000,115.5220000000,115.5370000000,114.8610854033,114.8610854033,116.8888291934,0.6759145967,0.6759145967,0.0150000000,stop,,0
USDJPY,2022-05-31,2022-06-01,2022-06-06,4,2.0000000000,128.7010000000,128.7160000000,131.1096582017,127.5191708991,131.1096582017,1.1968291009,1.1968291009,0.0150000000,target,,0
USDJPY,2022-07-26,2022-07-27,2022-07-28,2,-1.0000000000,136.9150000000,136.9300000000,135.7083865907,135.7083865907,139.3732268186,1.2216134093,1.2216134093,0.0150000000,stop,,0
USDJPY,2022-08-17,2022-08-18,2022-08-29,8,2.0000000000,135.1055000000,135.1205000000,138.2904543776,133.5355228112,138.2904543776,1.5849771888,1.5849771888,0.0150000000,target,,0
USDJPY,2022-10-28,2022-10-31,2022-11-02,3,-1.0000000000,147.7190000000,147.7340000000,146.0264480490,146.0264480490,151.1491039020,1.7075519510,1.7075519510,0.0150000000,stop,,0
USDJPY,2023-07-21,2023-07-24,2023-07-26,3,-1.0000000000,141.7330000000,141.7480000000,140.4017246259,140.4017246259,144.4405507482,1.3462753741,1.3462753741,0.0150000000,stop,,0
USDJPY,2023-07-31,2023-08-01,2023-08-14,10,2.0000000000,142.2735000000,142.2885000000,145.3516630956,140.7569184522,145.3516630956,1.5315815478,1.5315815478,0.0150000000,target,,0
USDJPY,2023-10-06,2023-10-09,2023-10-31,17,2.0000000000,149.0575000000,149.0725000000,150.9819903764,148.1177548118,150.9819903764,0.9547451882,0.9547451882,0.0150000000,target,,0
